X,Y,V
-305.01992917990776,-2088.943940021364,69.20073952949606
-304.98955874618593,-2092.943824724298,69.36052739757854
-304.91943784077534,-2096.9432100594,69.518057682115
-304.8095733896465,-2100.941701000041,69.67337396901806
-304.6599762443131,-2104.93890260793,69.82651863669572
-304.4706611807594,-2108.934420072129,69.9775329018732
-304.2416468979819,-2112.927858748044,70.12645686319678
-303.97295601614167,-2116.9188241964066,70.27332954275165
-303.6646150743303,-2120.9069222222347,70.41818892561442
-303.31665452794846,-2124.8917589137654,70.56107199755249
-302.92910874569833,-2128.872940681364,70.70201478097572
-302.5020160061877,-2132.850074296402,70.84105236923797
-302.03541849415063,-2136.8227669300913,70.97821895938037
-301.5293622962797,-2140.790626192289,71.11354788340188
-300.9838973966745,-2144.7532601702515,71.24707163813737
-300.3990776719046,-2148.7102774673476,71.37882191381819
-299.7749608856871,-2152.6612872417177,71.50882962138556
-299.1116086831833,-2156.605899244872,71.63712491862286
-298.40908658490685,-2160.543723860246,71.76373723516846
-297.6674639802554,-2164.474372141672,71.88869529345264
-297.0093667200661,-2168.41986425244,72.01202714261427
-296.264864260541,-2172.349968079028,72.13376016635138
-295.4725307312665,-2176.270708771599,72.25392111073918
-294.6324837679967,-2180.181504227705,72.37253610458603
-293.7448480903784,-2184.0817738214405,72.48963067814125
-292.8097554834346,-2187.9709384896482,72.60522978172143
-291.8273447779985,-2191.8484208178916,72.71935780359175
-290.7977618301015,-2195.7136451261817,72.83203858714215
-289.7211594993183,-2199.5660375544467,72.943295447392
-288.5976976260725,-2203.405026147731,73.05315118685519
-287.4275430079057,-2207.230040941112,73.16162811079558
-286.2108693747134,-2211.0405140443227,73.26874804190146
-284.9478573629504,-2214.835879726065,73.37453233440574
-283.63869448881434,-2218.615574497999,73.47900188767727
-282.2835751204043,-2222.379037198408,73.5821771593074
-280.88270044886394,-2226.1257090755057,73.68407817771464
-279.43627845851057,-2229.8550338704013,73.78472455428876
-277.94452389595745,-2233.5664578996793,73.88413549509498
-276.4076582382289,-2237.2594301376057,73.98232981215753
-274.82590965988067,-2240.933402297937,74.07932593434093
-273.1995129991214,-2244.5878289153243,74.17514191442015
-271.7113627103901,-2248.300699599599,74.2697954511208
-270.08471376956396,-2251.9550139297176,74.36330388472254
-268.3956241957957,-2255.5808898806827,74.45568421181126
-266.6445909587252,-2259.1772606350232,74.54695309577137
-264.8321292532673,-2262.743068056386,74.63712687457966
-262.95877234802776,-2266.2772630008667,74.72622156931837
-261.02507142840363,-2269.778805625689,74.81425289239773
-259.03159543441205,-2273.2466656951524,74.90123625550525
-256.97893089329426,-2276.6798228837533,74.98718677729268
-254.86768174694606,-2280.0772670763845,75.07211929081132
-252.698469174223,-2283.437998665539,75.15604835070562
-250.47193140817663,-2286.7610288454152,75.23898824017473
-248.18872354827005,-2290.0453799028487,75.32095297771097
-245.849517367633,-2293.290085504975,75.40195632235942
-243.39133791826276,-2296.445613003618,75.48201179236275
-240.91850850620727,-2299.5896732286897,75.56113263518162
-238.40302483485857,-2302.69971211899,75.63933188043862
-235.84535491577958,-2305.775151044582,75.71662231691616
-233.24597460938276,-2308.8154178129294,75.79301650493535
-230.605367536394,-2311.8199467753593,75.86852678171954
-227.9240249878739,-2314.7881789323005,75.9431652666314
-225.20244583381478,-2317.7195620372845,76.01694386674049
-222.44605099772576,-2320.6182319922077,76.08987427967864
-219.64912811619575,-2323.4778162967477,76.16196800175103
-216.81264529299432,-2326.29816471382,76.23323633014424
-213.93715288447612,-2329.078730017595,76.30369036815888
-211.02320881593613,-2331.8189727012673,76.37334102954415
-208.07137847335827,-2334.518361081741,76.44219904274587
-205.0822345937149,-2337.176371402788,76.51027495503273
-202.0563571538394,-2339.7924879366706,76.57757913650484
-198.99433325789536,-2342.3662030842083,76.64412178398888
-195.89675702345988,-2344.897017473266,76.70991292482367
-192.76422946625263,-2347.3844400556454,76.77496242054
-189.59735838351733,-2349.8279882023635,76.83927996836131
-186.35117971134878,-2352.1651497347243,76.90287511615757
-183.08668425839056,-2354.4766577787527,76.96575724146089
-179.79547204180827,-2356.749964213313,77.02793557978418
-176.47799007989238,-2358.984760273886,77.08941921534539
-173.13468895893598,-2361.180742426501,77.15021708661725
-169.76602277203648,-2363.337612408962,77.21033798934734
-166.3724490574215,-2365.455077271354,77.26979057951033
-162.95442873630026,-2367.5328494158384,77.3285833761823
-159.51242605026547,-2369.570646635712,77.38672476433946
-156.0469084982366,-2371.568192153736,77.44422299758406
-152.55834677296397,-2373.5252146597295,77.50108620079935
-149.04721469710023,-2375.4414483474184,77.55732237273627
-145.5139891588396,-2377.3166329505393,77.61293938853373
-141.95915004715278,-2379.1505137781883,77.66794500217479
-138.38318018660308,-2380.9428417494128,77.72234684210846
-134.84450361925437,-2382.8077192659525,77.77615243815218
-131.2590264904338,-2384.5809518391657,77.82936919142814
-127.64048938881736,-2386.285706731878,77.8820043939234
-123.9901999981979,-2387.9213678718233,77.93406522857565
-120.30947747715825,-2389.487344156162,77.98555877065829
-116.59965198234799,-2390.9830696650897,78.03649198984293
-112.86206418778511,-2392.4080038663546,78.08687175220811
-109.09806480035598,-2393.7616318105966,78.13670482219935
-105.30901407169215,-2395.0434643174453,78.18599786429688
-101.4941886217567,-2396.2464218339546,78.23475744610374
-97.6587570416975,-2397.381967779605,78.28299003779905
-93.8028491789867,-2398.445910707718,78.33070201615288
-89.9278016528204,-2399.437881811105,78.37789966524338
-86.03495771700538,-2400.3575372310233,78.42458917833387
-82.1256667943282,-2401.2045581763805,78.47077665766064
-78.1786064662717,-2401.8531834662745,78.51646809433745
-74.23187284861265,-2402.503793757654,78.56166947945644
-70.27936002254894,-2403.118319883873,78.60638662584026
-66.32139789104073,-2403.6967105525014,78.650625296958
-62.35831681188601,-2404.238917487213,78.6943911746812
-58.390447570140964,-2404.744895431819,78.73768986090056
-54.41812135051994,-2405.2146021540393,78.78052687330482
-50.423280514607896,-2405.417694979513,78.8229076611391
-46.43523009218634,-2405.7266510090153,78.86483761519344
-42.44586941852496,-2406.018201031236,78.90632201303724
-38.455274462494096,-2406.2923394942263,78.94736607728962
-34.46352121645379,-2406.5490611776036,78.98797495850249
-30.470685694830067,-2406.788361192653,79.02815373648913
-26.476843932640925,-2407.0102349824156,79.06790742153112
-22.482071984083735,-2407.2146783217786,79.10724095555983
-18.48644592106917,-2407.4016873175556,79.14615921331261
-14.4900418317523,-2407.5712584085595,79.18466700346433
-10.49293581912445,-2407.72338836567,79.2227690697349
-6.495203999546526,-2407.858074291897,79.26047009197349
-2.4969225012790757,-2407.9753136224354,79.29777468721991
1.501832536941159,-2408.075104124711,79.33468739673575
5.501830066911359,-2408.0706588472026,79.37121272236342
9.50169957408169,-2408.1029686890392,79.40735527167345
13.50160993285597,-2408.129747810457,79.4431192521329
17.501553495858392,-2408.150996160258,79.47850898277555
21.501522615562546,-2408.1667136978167,79.51352872488506
25.501509644393174,-2408.176900393083,79.54818268377942
29.501506934827876,-2408.1815562265815,79.58247500970558
33.50150683906334,-2408.18068118941,79.61640979872037
37.501501709552535,-2408.174275283241,79.64999109355382
